Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Enterprise,CUST_ID_001,PROD_ID_001,,345,5,125,"43,125.00",0,"43,125.00",43.13,"41,400.00","1,725.00",,22-09-2021,Sep,Q3,2021,James Smith,Montana,USA
Midmarket,CUST_ID_002,PROD_ID_002,,549,10,15,"8,235.00",0,"8,235.00",8.24,"5,490.00","2,745.00",,11-01-2021,Jan,Q1,2021,Emma Johnson,Paseo,Canada
Small Business,CUST_ID_003,PROD_ID_002,,788,10,300,"2,36,400.00",0,"2,36,400.00",236.4,"1,97,000.00","39,400.00",,27-01-2022,Jan,Q1,2021,Noah Williams,Paseo,England
Government,CUST_ID_004,PROD_ID_002,,"1,725.00",10,350,"6,03,750.00",0,"6,03,750.00",603.75,"4,48,500.00","1,55,250.00",,01-08-2021,Aug,Q3,2021,Olivia Brown,Paseo,France
Channel Partners,CUST_ID_005,PROD_ID_002,,912,10,12,"10,944.00",0,"10,944.00",10.94,"2,736.00","8,208.00",,08-07-2022,Jul,Q3,2021,Liam Jones,Paseo,Germany
Midmarket,CUST_ID_006,PROD_ID_002,,"2,152.00",10,15,"32,280.00",0,"32,280.00",32.28,"21,520.00","10,760.00",,28-09-2022,Sep,Q3,2021,Ava Davis,Paseo,Italy
Enterprise,CUST_ID_007,PROD_ID_003,,345,120,125,"43,125.00",0,"43,125.00",43.13,"41,400.00","1,725.00",,26-09-2021,Sep,Q3,2021,Ethan Miller,Velo,India
Government,CUST_ID_008,PROD_ID_004,,"1,527.00",250,350,"5,34,450.00",0,"5,34,450.00",534.45,"3,97,020.00","1,37,430.00",,11-02-2021,Feb,Q1,2021,Isabella Wilson,VTT,Japan
Enterprise,CUST_ID_009,PROD_ID_005,Low,330,3,125,"41,250.00",412.5,"40,837.50",40.84,"39,600.00","1,237.50",,12-01-2022,Jan,Q1,2021,Mason Taylor,Carretera,USA
Channel Partners,CUST_ID_010,PROD_ID_005,Low,766,3,12,"9,192.00",91.92,"9,100.08",9.1,"2,298.00","6,802.08",,06-04-2022,Apr,Q2,2021,Sophia Anderson,Carretera,Canada
Small Business,CUST_ID_011,PROD_ID_005,Low,494,3,300,"1,48,200.00",1482,"1,46,718.00",146.72,"1,23,500.00","23,218.00",,19-11-2021,Nov,Q4,2021,Benjamin Martinez,Carretera,England
Small Business,CUST_ID_012,PROD_ID_001,Low,"2,498.00",5,300,"7,49,400.00",7494,"7,41,906.00",741.91,"6,24,500.00","1,17,406.00",,20-12-2021,Dec,Q4,2021,Mia Thomas,Montana,France
Enterprise,CUST_ID_013,PROD_ID_001,Low,663,5,125,"82,875.00",828.75,"82,046.25",82.05,"79,560.00","2,486.25",,27-02-2021,Feb,Q1,2021,Logan Jackson,Montana,Germany
Channel Partners,CUST_ID_014,PROD_ID_002,Low,766,10,12,"9,192.00",91.92,"9,100.08",9.1,"2,298.00","6,802.08",,10-07-2022,Jul,Q3,2021,Charlotte White,Paseo,Italy
Enterprise,CUST_ID_015,PROD_ID_003,Low,663,120,125,"82,875.00",828.75,"82,046.25",82.05,"79,560.00","2,486.25",,29-03-2022,Mar,Q1,2021,Samuel Taylor,Velo,India
Government,CUST_ID_016,PROD_ID_003,Low,"2,092.00",120,7,"14,644.00",146.44,"14,497.56",14.5,"10,460.00","4,037.56",,19-10-2022,Oct,Q4,2021,Harper Davis,Velo,Japan
Small Business,CUST_ID_017,PROD_ID_004,Low,494,250,300,"1,48,200.00",1482,"1,46,718.00",146.72,"1,23,500.00","23,218.00",,31-07-2022,Jul,Q3,2021,Henry Anderson,VTT,USA
Channel Partners,CUST_ID_018,PROD_ID_006,Low,"1,989.00",260,12,"23,868.00",238.68,"23,629.32",23.63,"5,967.00","17,662.32",,29-03-2022,Mar,Q1,2021,Amelia Garcia,Amarilla,Canada
Midmarket,CUST_ID_019,PROD_ID_006,Low,321,260,15,"4,815.00",48.15,"4,766.85",4.77,"3,210.00","1,556.85",,27-07-2022,Jul,Q3,2021,Jackson Martinez,Amarilla,England
Small Business,CUST_ID_020,PROD_ID_005,Low,214,3,300,"64,200.00",1284,"62,916.00",62.92,"53,500.00","9,416.00",,30-08-2021,Aug,Q3,2021,Abigail Robinson,Carretera,France
Government,CUST_ID_021,PROD_ID_005,Low,"2,145.00",3,7,"15,015.00",300.3,"14,714.70",14.71,"10,725.00","3,989.70",,15-10-2021,Oct,Q4,2021,Aiden Lewis,Carretera,Germany
Enterprise,CUST_ID_022,PROD_ID_001,Low,"1,660.00",5,125,"2,07,500.00",4150,"2,03,350.00",203.35,"1,99,200.00","4,150.00",,30-10-2022,Oct,Q4,2021,Emily Clark,Montana,Italy
Enterprise,CUST_ID_023,PROD_ID_002,Low,809,10,125,"1,01,125.00",2022.5,"99,102.50",99.1,"97,080.00","2,022.50",,10-12-2021,Dec,Q4,2021,Sebastian Lee,Paseo,India
Enterprise,CUST_ID_024,PROD_ID_002,Low,"2,145.00",10,125,"2,68,125.00",5362.5,"2,62,762.50",262.76,"2,57,400.00","5,362.50",,23-05-2021,May,Q2,2021,Elizabeth Green,Paseo,Japan
Channel Partners,CUST_ID_025,PROD_ID_002,Low,"1,785.00",10,12,"21,420.00",428.4,"20,991.60",20.99,"5,355.00","15,636.60",,18-02-2021,Feb,Q1,2021,Alexander Perez,Paseo,USA
Midmarket,CUST_ID_026,PROD_ID_002,Low,"1,925.00",10,15,"28,875.00",577.5,"28,297.50",28.3,"19,250.00","9,047.50",,28-01-2021,Jan,Q1,2021,Avery Turner,Paseo,Canada
Government,CUST_ID_027,PROD_ID_002,Low,"2,013.00",10,7,"14,091.00",281.82,"13,809.18",13.81,"10,065.00","3,744.18",,21-12-2022,Dec,Q4,2021,Michael Hill,Paseo,England
Government,CUST_ID_028,PROD_ID_003,Low,"2,966.00",120,350,"10,38,100.00",20762,"10,17,338.00","1,017.34","7,71,160.00","2,46,178.00",,13-01-2022,Jan,Q1,2021,Sofia Phillips,Velo,France
Enterprise,CUST_ID_029,PROD_ID_003,Low,809,120,125,"1,01,125.00",2022.5,"99,102.50",99.1,"97,080.00","2,022.50",,08-11-2022,Nov,Q4,2021,Elijah Martin,Velo,Germany
Enterprise,CUST_ID_030,PROD_ID_003,Low,"2,145.00",120,125,"2,68,125.00",5362.5,"2,62,762.50",262.76,"2,57,400.00","5,362.50",,19-01-2021,Jan,Q1,2021,Sophia Turner,Velo,Italy
Government,CUST_ID_031,PROD_ID_003,Low,544,120,20,"10,880.00",217.6,"10,662.40",10.66,"5,440.00","5,222.40",,30-07-2021,Jul,Q3,2021,Benjamin Lee,Velo,India
Small Business,CUST_ID_032,PROD_ID_004,Low,214,250,300,"64,200.00",1284,"62,916.00",62.92,"53,500.00","9,416.00",,21-02-2021,Feb,Q1,2021,Mia White,VTT,Japan
Government,CUST_ID_033,PROD_ID_004,Low,266,250,350,"93,100.00",1862,"91,238.00",91.24,"69,160.00","22,078.00",,28-01-2022,Jan,Q1,2021,Logan Garcia,VTT,USA
Government,CUST_ID_034,PROD_ID_004,Low,"1,940.00",250,350,"6,79,000.00",13580,"6,65,420.00",665.42,"5,04,400.00","1,61,020.00",,12-01-2022,Jan,Q1,2021,Charlotte Davis,VTT,Canada
Government,CUST_ID_035,PROD_ID_006,Low,"2,966.00",260,350,"10,38,100.00",20762,"10,17,338.00","1,017.34","7,71,160.00","2,46,178.00",,01-07-2022,Jul,Q3,2021,Samuel Johnson,Amarilla,England
Channel Partners,CUST_ID_036,PROD_ID_005,Low,908,3,12,"10,896.00",326.88,"10,569.12",10.57,"2,724.00","7,845.12",,11-12-2022,Dec,Q4,2021,Harper Anderson,Carretera,France
Government,CUST_ID_037,PROD_ID_001,Low,"1,797.00",5,350,"6,28,950.00",18868.5,"6,10,081.50",610.08,"4,67,220.00","1,42,861.50",,16-05-2021,May,Q2,2021,Henry Martinez,Montana,Germany
Midmarket,CUST_ID_038,PROD_ID_002,Low,"1,945.00",10,15,"29,175.00",875.25,"28,299.75",28.3,"19,450.00","8,849.75",,02-05-2022,May,Q2,2021,Amelia Wilson,Paseo,Italy
Midmarket,CUST_ID_039,PROD_ID_004,Low,"1,945.00",250,15,"29,175.00",875.25,"28,299.75",28.3,"19,450.00","8,849.75",,02-04-2022,Apr,Q2,2021,Jackson Turner,VTT,India
Government,CUST_ID_040,PROD_ID_002,Low,"1,760.00",10,7,"12,320.00",369.6,"11,950.40",11.95,"8,800.00","3,150.40",,03-11-2021,Nov,Q4,2021,Abigail Lewis,Paseo,Japan
Midmarket,CUST_ID_002,PROD_ID_002,Low,"2,261.00",10,15,"33,915.00",1356.6,"32,558.40",32.56,"22,610.00","9,948.40",,10-04-2022,Apr,Q2,2021,Emma Johnson,Paseo,Canada
Government,CUST_ID_041,PROD_ID_003,Low,736,120,20,"14,720.00",588.8,"14,131.20",14.13,"7,360.00","6,771.20",,12-07-2022,Jul,Q3,2021,Aiden Clark,Velo,USA
Government,CUST_ID_042,PROD_ID_005,Low,"2,851.00",3,7,"19,957.00",798.28,"19,158.72",19.16,"14,255.00","4,903.72",,20-12-2022,Dec,Q4,2021,Emily Garcia,Carretera,Canada
Government,CUST_ID_043,PROD_ID_001,Low,"2,851.00",5,7,"19,957.00",798.28,"19,158.72",19.16,"14,255.00","4,903.72",,14-07-2021,Jul,Q3,2021,Sebastian Phillips,Montana,England
Midmarket,CUST_ID_026,PROD_ID_002,Low,671,10,15,"10,065.00",402.6,"9,662.40",9.66,"6,710.00","2,952.40",,15-01-2021,Jan,Q1,2021,Avery Turner,Paseo,Canada
Midmarket,CUST_ID_044,PROD_ID_002,Low,"1,514.00",10,15,"22,710.00",908.4,"21,801.60",21.8,"15,140.00","6,661.60",,22-03-2022,Mar,Q1,2021,Elizabeth Martin,Paseo,France
Government,CUST_ID_016,PROD_ID_003,Low,"2,646.00",120,20,"52,920.00",2116.8,"50,803.20",50.8,"26,460.00","24,343.20",,05-06-2022,Jun,Q2,2021,Harper Davis,Velo,Japan
Government,CUST_ID_033,PROD_ID_004,Low,349,250,350,"1,22,150.00",4886,"1,17,264.00",117.26,"90,740.00","26,524.00",,16-02-2021,Feb,Q1,2021,Logan Garcia,VTT,USA
Midmarket,CUST_ID_045,PROD_ID_004,Low,"1,514.00",250,15,"22,710.00",908.4,"21,801.60",21.8,"15,140.00","6,661.60",,15-09-2021,Sep,Q3,2021,Alexander Hill,VTT,Germany
Midmarket,CUST_ID_046,PROD_ID_006,Low,671,260,15,"10,065.00",402.6,"9,662.40",9.66,"6,710.00","2,952.40",,19-10-2022,Oct,Q4,2021,Avery Anderson,Amarilla,Italy
Government,CUST_ID_047,PROD_ID_006,Low,"1,778.00",260,350,"6,22,300.00",24892,"5,97,408.00",597.41,"4,62,280.00","1,35,128.00",,31-12-2021,Dec,Q4,2021,Michael Wilson,Amarilla,India
Government,CUST_ID_037,PROD_ID_001,Medium,"1,159.00",5,7,"8,113.00",405.65,"7,707.35",7.71,"5,795.00","1,912.35",,17-08-2022,Aug,Q3,2021,Henry Martinez,Montana,Germany
Government,CUST_ID_004,PROD_ID_002,Medium,"2,349.00",10,7,"16,443.00",822.15,"15,620.85",15.62,"11,745.00","3,875.85",,28-09-2022,Sep,Q3,2021,Olivia Brown,Paseo,France
Government,CUST_ID_035,PROD_ID_006,Medium,"1,159.00",260,7,"8,113.00",405.65,"7,707.35",7.71,"5,795.00","1,912.35",,28-03-2021,Mar,Q1,2021,Samuel Johnson,Amarilla,England
Government,CUST_ID_048,PROD_ID_005,Medium,"1,016.00",3,7,"7,112.00",355.6,"6,756.40",6.76,"5,080.00","1,676.40",,24-05-2022,May,Q2,2021,Sofia Turner,Carretera,Japan
Government,CUST_ID_049,PROD_ID_001,Medium,720,5,350,"2,52,000.00",12600,"2,39,400.00",239.4,"1,87,200.00","52,200.00",,08-04-2021,Apr,Q2,2021,Elijah Perez,Montana,USA
Small Business,CUST_ID_050,PROD_ID_001,Medium,"1,100.00",5,300,"3,30,000.00",16500,"3,13,500.00",313.5,"2,75,000.00","38,500.00",,20-01-2021,Jan,Q1,2021,Mia Hill,Montana,Canada
Government,CUST_ID_004,PROD_ID_002,Medium,"1,228.00",10,350,"4,29,800.00",21490,"4,08,310.00",408.31,"3,19,280.00","89,030.00",,09-01-2021,Jan,Q1,2021,Olivia Brown,Paseo,France
Government,CUST_ID_004,PROD_ID_002,Medium,"1,389.00",10,20,"27,780.00",1389,"26,391.00",26.39,"13,890.00","12,501.00",,16-12-2021,Dec,Q4,2021,Olivia Brown,Paseo,France
Enterprise,CUST_ID_051,PROD_ID_002,Medium,704,10,125,"88,000.00",4400,"83,600.00",83.6,"84,480.00",-880,,25-07-2021,Jul,Q3,2021,Logan Phillips,Paseo,England
Government,CUST_ID_004,PROD_ID_002,Medium,"1,802.00",10,20,"36,040.00",1802,"34,238.00",34.24,"18,020.00","16,218.00",,30-09-2021,Sep,Q3,2021,Olivia Brown,Paseo,France
Government,CUST_ID_052,PROD_ID_002,Medium,"2,136.00",10,7,"14,952.00",747.6,"14,204.40",14.2,"10,680.00","3,524.40",,22-07-2021,Jul,Q3,2021,Charlotte Martin,Paseo,France
Midmarket,CUST_ID_038,PROD_ID_002,Medium,"2,116.00",10,15,"31,740.00",1587,"30,153.00",30.15,"21,160.00","8,993.00",,16-03-2022,Mar,Q1,2021,Amelia Wilson,Paseo,Italy
Enterprise,CUST_ID_053,PROD_ID_003,Medium,704,120,125,"88,000.00",4400,"83,600.00",83.6,"84,480.00",-880,,25-04-2021,Apr,Q2,2021,Samuel Hill,Velo,Germany
Government,CUST_ID_054,PROD_ID_003,Medium,"1,033.00",120,20,"20,660.00",1033,"19,627.00",19.63,"10,330.00","9,297.00",,28-10-2022,Oct,Q4,2021,Harper Wilson,Velo,Italy
Government,CUST_ID_055,PROD_ID_004,Medium,"1,389.00",250,20,"27,780.00",1389,"26,391.00",26.39,"13,890.00","12,501.00",,07-09-2021,Sep,Q3,2021,Henry Turner,VTT,India
Government,CUST_ID_033,PROD_ID_004,Medium,"1,265.00",250,20,"25,300.00",1265,"24,035.00",24.04,"12,650.00","11,385.00",,03-07-2021,Jul,Q3,2021,Logan Garcia,VTT,USA
Government,CUST_ID_056,PROD_ID_004,Medium,"2,297.00",250,20,"45,940.00",2297,"43,643.00",43.64,"22,970.00","20,673.00",,31-07-2021,Jul,Q3,2021,Amelia Perez,VTT,Japan
Government,CUST_ID_047,PROD_ID_006,Medium,"1,228.00",260,350,"4,29,800.00",21490,"4,08,310.00",408.31,"3,19,280.00","89,030.00",,11-01-2022,Jan,Q1,2021,Michael Wilson,Amarilla,India
Channel Partners,CUST_ID_036,PROD_ID_005,Medium,"2,299.00",3,12,"27,588.00",1655.28,"25,932.72",25.93,"6,897.00","19,035.72",,01-01-2022,Jan,Q1,2021,Harper Anderson,Carretera,France
Government,CUST_ID_057,PROD_ID_005,Medium,263,3,7,"1,841.00",110.46,"1,730.54",1.73,"1,315.00",415.54,,15-04-2021,Apr,Q2,2021,Jackson Hill,Carretera,USA
Enterprise,CUST_ID_058,PROD_ID_005,Medium,887,3,125,"1,10,875.00",6652.5,"1,04,222.50",104.22,"1,06,440.00","-2,217.50",,16-08-2022,Aug,Q3,2021,Abigail Phillips,Carretera,Canada
Government,CUST_ID_059,PROD_ID_001,Medium,"1,403.00",5,7,"9,821.00",589.26,"9,231.74",9.23,"7,015.00","2,216.74",,25-09-2022,Sep,Q3,2021,Aiden Martin,Montana,England
Channel Partners,CUST_ID_060,PROD_ID_002,Medium,"2,299.00",10,12,"27,588.00",1655.28,"25,932.72",25.93,"6,897.00","19,035.72",,25-04-2021,Apr,Q2,2021,Emily Garcia,Paseo,France
Government,CUST_ID_027,PROD_ID_002,Medium,727,10,350,"2,54,450.00",15267,"2,39,183.00",239.18,"1,89,020.00","50,163.00",,19-04-2022,Apr,Q2,2021,Michael Hill,Paseo,England
Small Business,CUST_ID_061,PROD_ID_003,Medium,"1,221.00",120,300,"3,66,300.00",21978,"3,44,322.00",344.32,"3,05,250.00","39,072.00",,25-05-2021,May,Q2,2021,Benjamin Martin,Velo,Germany
Government,CUST_ID_054,PROD_ID_003,Medium,"2,076.00",120,350,"7,26,600.00",43596,"6,83,004.00",683,"5,39,760.00","1,43,244.00",,24-09-2021,Sep,Q3,2021,Harper Wilson,Velo,Italy
Small Business,CUST_ID_062,PROD_ID_004,Medium,"1,221.00",250,300,"3,66,300.00",21978,"3,44,322.00",344.32,"3,05,250.00","39,072.00",,20-08-2021,Aug,Q3,2021,Mia Lewis,VTT,Italy
Government,CUST_ID_034,PROD_ID_004,Medium,"1,123.00",250,20,"22,460.00",1347.6,"21,112.40",21.11,"11,230.00","9,882.40",,25-07-2022,Jul,Q3,2021,Charlotte Davis,VTT,Canada
Small Business,CUST_ID_063,PROD_ID_004,Medium,"2,436.00",250,300,"7,30,800.00",43848,"6,86,952.00",686.95,"6,09,000.00","77,952.00",,05-03-2021,Mar,Q1,2021,Logan Clark,VTT,India
Government,CUST_ID_064,PROD_ID_006,Medium,727,260,350,"2,54,450.00",15267,"2,39,183.00",239.18,"1,89,020.00","50,163.00",,21-02-2022,Feb,Q1,2021,Charlotte Anderson,Amarilla,Japan
Government,CUST_ID_065,PROD_ID_006,Medium,"1,403.00",260,7,"9,821.00",589.26,"9,231.74",9.23,"7,015.00","2,216.74",,08-09-2021,Sep,Q3,2021,Samuel Wilson,Amarilla,USA
